year,GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
2015,Geography,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Total households,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population
2015,1600000US0600562,Alameda,64837,40671,40302,40302,40302,30710,76782
2015,1600000US0600884,Alhambra,73529,42187,42773,42773,42773,29362,84959
2015,1600000US0602000,Anaheim,273225,172376,175917,175917,175917,99991,348424
2015,1600000US0602252,Antioch,84415,46827,48228,48228,48228,33214,110183
2015,1600000US0602364,Apple Valley,54100,24541,24923,24923,24923,23644,71884
2015,1600000US0602553,Arden-Arcade,80497,43839,44857,44857,44857,43562,95466
2015,1600000US0603526,Bakersfield,276600,161764,164169,164169,164169,114383,371826
2015,1600000US0603666,Baldwin Park,59621,33169,33641,33641,33641,18541,76743
2015,1600000US0604982,Bellflower,59473,31643,32395,32395,32395,21729,78091
2015,1600000US0606000,Berkeley,107090,60868,63352,63352,63352,46277,120668
2015,1600000US0608786,Buena Park,63979,35682,36020,36020,36020,23264,83042
2015,1600000US0608954,Burbank,84504,51479,52429,52429,52429,41633,105081
2015,1600000US0610046,Camarillo,53760,29163,29416,29416,29416,24247,66933
2015,1600000US0611194,Carlsbad,91226,55684,57019,57019,57019,42216,112871
2015,1600000US0611390,Carmichael,51019,27131,28373,28373,28373,25951,62725
2015,1600000US0611530,Carson,77995,43899,45325,45325,45325,24956,93169
2015,1600000US0613014,Chico,75131,41232,42864,42864,42864,34919,89829
2015,1600000US0613210,Chino,71209,30441,31681,31681,31681,17610,63915
2015,1600000US0613214,Chino Hills,64172,39103,40549,40549,40549,25659,78066
2015,1600000US0613392,Chula Vista,204519,118717,119492,119492,119492,79461,262156
2015,1600000US0613588,Citrus Heights,70602,38461,39301,39301,39301,34610,86866
2015,1600000US0614218,Clovis,81571,47340,48603,48603,48603,37621,103920
2015,1600000US0615044,Compton,73191,39386,40228,40228,40228,23978,98311
2015,1600000US0616000,Concord,103826,65440,66484,66484,66484,46885,128117
2015,1600000US0616350,Corona,129002,78641,80680,80680,80680,55011,163901
2015,1600000US0616532,Costa Mesa,93346,63262,64639,64639,64639,42871,112488
2015,1600000US0617918,Daly City,91833,57880,58473,58473,58473,32434,106117
2015,1600000US0618100,Davis,57594,31850,32151,32151,32151,24426,67346
2015,1600000US0619766,Downey,93480,55863,57107,57107,57107,32932,113544
2015,1600000US0620802,East Los Angeles,92363,50605,51128,51128,51128,31853,119474
2015,1600000US0621712,El Cajon,79554,43572,44049,44049,44049,32120,101511
2015,1600000US0622020,Elk Grove,128002,76661,78926,78926,78926,49724,166615
2015,1600000US0622230,El Monte,93817,48830,49545,49545,49545,31474,115925
2015,1600000US0622804,Escondido,119094,71925,72466,72466,72466,45676,149839
2015,1600000US0623182,Fairfield,86351,49503,49050,49050,49050,35392,110076
2015,1600000US0624477,Florence-Graham,48569,26537,27365,27365,27365,14511,66359
2015,1600000US0624638,Folsom,60754,34941,35557,35557,35557,27044,70996
2015,1600000US0624680,Fontana,150800,90289,91414,91414,91414,49811,207221
2015,1600000US0626000,Fremont,186798,82254,116522,116522,116522,73846,231496
2015,1600000US0627000,Fresno,382766,203243,210511,210511,210511,163473,515086
2015,1600000US0628000,Fullerton,114259,68976,69754,69754,69754,46220,139944
2015,1600000US0629000,Garden Grove,141789,83368,85056,85056,85056,47381,174588
2015,1600000US0630000,Glendale,171643,94235,97936,97936,97936,74215,199633
2015,1600000US0632548,Hawthorne,68566,40933,42222,42222,42222,29545,88110
2015,1600000US0633000,Hayward,125443,71551,78084,78084,78084,46909,157506
2015,1600000US0633182,Hemet,63299,23419,24580,24580,24580,27881,83107
2015,1600000US0633434,Hesperia,67185,32078,33061,33061,33061,26458,93286
2015,1600000US0636000,Huntington Beach,165642,101911,104871,104871,104871,75158,201453
2015,1600000US0636448,Indio,67201,37482,38354,38354,38354,28165,86996
2015,1600000US0636546,Inglewood,87257,48452,50291,50291,50291,35250,111292
2015,1600000US0636770,Irvine,210577,121811,123934,123934,123934,91186,256756
2015,1600000US0637692,Jurupa Valley,78423,41765,42986,42986,42986,25741,99775
2015,1600000US0639248,Laguna Niguel,54536,32574,33637,33637,33637,25350,65788
2015,1600000US0639496,Lake Forest,66507,44371,45370,45370,45370,29726,82326
2015,1600000US0639892,Lakewood,65974,37794,39321,39321,39321,26001,81530
2015,1600000US0640130,Lancaster,120525,55382,56402,56402,56402,47372,155299
2015,1600000US0641992,Livermore,68188,46037,47268,47268,47268,30146,87974
2015,1600000US0643000,Long Beach,376218,218568,224684,224684,224684,167660,471290
2015,1600000US0644000,Los Angeles,3214644,1904999,1960170,1960170,1960170,1360164,3946275
2015,1600000US0644574,Lynwood,53408,29591,30228,30228,30228,15616,69688
2015,1600000US0645484,Manteca,57041,28573,29162,29162,29162,23005,75097
2015,1600000US0646842,Menifee,66675,32297,32889,32889,32889,28384,86552
2015,1600000US0646898,Merced,59098,24499,25955,25955,25955,25848,81757
2015,1600000US0647766,Milpitas,61902,32931,36789,36789,36789,22756,75715
2015,1600000US0648256,Mission Viejo,81752,49366,50754,50754,50754,33575,96911
2015,1600000US0648354,Modesto,163380,83138,85112,85112,85112,70114,209596
2015,1600000US0649270,Moreno Valley,154519,86227,88405,88405,88405,52091,203794
2015,1600000US0649670,Mountain View,64264,47095,47947,47947,47947,32514,80304
2015,1600000US0650076,Murrieta,84000,42780,45239,45239,45239,33068,109440
2015,1600000US0650258,Napa,63073,40320,41837,41837,41837,27905,79708
2015,1600000US0651182,Newport Beach,74168,41360,42103,42103,42103,36146,86830
2015,1600000US0652526,Norwalk,84506,49343,50184,50184,50184,27139,106551
2015,1600000US0653000,Oakland,342395,210931,217581,217581,217581,161104,417497
2015,1600000US0653322,Oceanside,144195,82418,81977,81977,81977,64200,173295
2015,1600000US0653896,Ontario,126640,79572,81307,81307,81307,48463,170806
2015,1600000US0653980,Orange,114952,68336,69224,69224,69224,42686,137080
2015,1600000US0654652,Oxnard,153468,91800,94587,94587,94587,50396,206507
2015,1600000US0655156,Palmdale,116380,57879,59441,59441,59441,44629,158261
2015,1600000US0655282,Palo Alto,53183,30883,31462,31462,31462,26030,66464
2015,1600000US0656000,Pasadena,116332,73977,74751,74751,74751,52636,141193
2015,1600000US0656700,Perris,51821,28116,N,29505,29505,15614,74780
2015,1600000US0657456,Pittsburg,54123,30958,31709,31709,31709,21934,69147
2015,1600000US0657792,Pleasanton,60985,37646,38741,38741,38741,27610,79365
2015,1600000US0658072,Pomona,118860,65227,66552,66552,66552,40843,151931
2015,1600000US0659444,Rancho Cordova,55001,33320,34257,34257,34257,24656,70884
2015,1600000US0659451,Rancho Cucamonga,135990,81803,84289,84289,84289,54106,172221
2015,1600000US0659920,Redding,74844,38672,39968,39968,39968,36937,90545
2015,1600000US0659962,Redlands,56380,29813,30340,30340,30340,24203,70424
2015,1600000US0660018,Redondo Beach,56565,38428,39796,39796,39796,29119,68119
2015,1600000US0660102,Redwood City,68194,43400,44168,44168,44168,31716,84338
2015,1600000US0660466,Rialto,79659,41783,43778,43778,43778,26750,102914
2015,1600000US0660620,Richmond,87943,51476,52715,52715,52715,37778,108802
2015,1600000US0662000,Riverside,253708,144968,147424,147424,147424,92408,320090
2015,1600000US0662938,Roseville,103982,60021,60877,60877,60877,47520,129585
2015,1600000US0664000,Sacramento,382536,211877,217467,217467,217467,177131,487436
2015,1600000US0664224,Salinas,112436,66422,67316,67316,67316,41925,156155
2015,1600000US0665000,San Bernardino,156963,78044,80261,80261,80261,57585,208270
2015,1600000US0665042,San Buenaventura (Ventura),88549,50340,51442,51442,51442,40166,108550
2015,1600000US0665084,San Clemente,54914,34126,33298,33298,33298,24662,64046
2015,1600000US0666000,San Diego,1141329,700865,690453,690453,690453,497663,1361662
2015,1600000US0667000,San Francisco,760939,497133,506320,506320,506320,356916,861066
2015,1600000US0668000,San Jose,815706,494087,515360,515360,515360,323133,1023361
2015,1600000US0668084,San Leandro,75506,46452,47739,47739,47739,32325,90374
2015,1600000US0668196,San Marcos,71298,44401,44447,44447,44447,29407,92296
2015,1600000US0668252,San Mateo,84032,55023,56720,56720,56720,38658,103202
2015,1600000US0668378,San Ramon,55742,34711,35126,35126,35126,24569,76032
2015,1600000US0669000,Santa Ana,248399,151196,152728,152728,152728,72177,331989
2015,1600000US0669070,Santa Barbara,78429,49926,52182,52182,52182,36016,91388
2015,1600000US0669084,Santa Clara,104288,68446,69633,69633,69633,43971,125746
2015,1600000US0669088,Santa Clarita,145539,90549,92814,92814,92814,59863,182073
2015,1600000US0669196,Santa Maria,74328,46381,47280,47280,47280,27144,104564
2015,1600000US0670000,Santa Monica,80790,51738,54241,54241,54241,45678,92462
2015,1600000US0670098,Santa Rosa,139584,84919,86425,86425,86425,63648,173304
2015,1600000US0672016,Simi Valley,102001,64195,66283,66283,66283,40269,126583
2015,1600000US0673080,South Gate,73179,42599,43226,43226,43226,24276,96327
2015,1600000US0673262,South San Francisco,55039,35565,35716,35716,35716,19995,67145
2015,1600000US0675000,Stockton,230552,113076,116930,116930,116930,94561,303665
2015,1600000US0677000,Sunnyvale,121269,79099,81112,81112,81112,55157,151218
2015,1600000US0678120,Temecula,84157,51577,51444,51444,51444,33487,111114
